"n_per_arm","nsim","p_control","p_treatment","true_risk_difference","mean_estimated_rd","bias_rd","rejection_rate","ci_coverage","metric_label"
120,5000,0.2,0.2,0,-0.00126166666666667,-0.00126166666666667,0.048,0.9518,"Type I Error Scenario"
120,5000,0.3,0.3,0,0.000886666666666666,0.000886666666666666,0.0494,0.9482,"Type I Error Scenario"
120,5000,0.4,0.4,0,0.000388333333333333,0.000388333333333333,0.0506,0.947,"Type I Error Scenario"
120,5000,0.2,0.25,0.05,0.0488433333333333,-0.00115666666666665,0.1552,0.943,"Power Scenario"
120,5000,0.3,0.35,0.05,0.05132,0.00132000000000001,0.1378,0.9464,"Power Scenario"
120,5000,0.4,0.45,0.05,0.050895,0.000895000000000007,0.1222,0.9458,"Power Scenario"
120,5000,0.2,0.3,0.1,0.0999366666666667,-6.33333333333597e-05,0.4338,0.947,"Power Scenario"
120,5000,0.3,0.4,0.1,0.10074,0.000739999999999963,0.3738,0.9514,"Power Scenario"
120,5000,0.4,0.5,0.1,0.099695,-0.000304999999999986,0.3344,0.9484,"Power Scenario"
120,5000,0.2,0.35,0.15,0.150723333333333,0.000723333333333354,0.755,0.9526,"Power Scenario"
120,5000,0.3,0.45,0.15,0.149426666666667,-0.000573333333333315,0.6796,0.9502,"Power Scenario"
120,5000,0.4,0.55,0.15,0.151031666666667,0.00103166666666665,0.6354,0.9518,"Power Scenario"
