"n_per_arm","power"
40,0.28050505472624
50,0.338781680087274
60,0.395073184276382
70,0.448882628031561
80,0.499849703034289
90,0.54773666791626
100,0.592409790138532
110,0.63382074434193
120,0.671989498327693
130,0.706989190351539
140,0.738933091995793
150,0.767963574253413
160,0.794242916690326
170,0.817945768255455
180,0.839253060655497
190,0.858347180206376
200,0.875408215909823
210,0.890611116873782
220,0.904123609106286
230,0.916104738923704
240,0.926703926947943
250,0.936060432445778
260,0.944303142310948
270,0.951550612168417
280,0.957911298847218
290,0.963483933845198
300,0.968357996459393
